timestamp,sxr_flux,hxr_flux
2026-06-30 11:20:00+00:00,2.285869641127647e-06,7.123174583512082e-08
2026-06-30 11:21:00+00:00,2.364471129112644e-06,8.277806529122245e-08
2026-06-30 11:22:00+00:00,2.483830940036569e-06,1.0290881391483708e-07
2026-06-30 11:23:00+00:00,2.54847077485465e-06,1.06626494300599e-07
2026-06-30 11:24:00+00:00,2.5482140699750744e-06,1.037623036381774e-07
2026-06-30 11:25:00+00:00,2.5748522602953017e-06,1.0504460590254894e-07
2026-06-30 11:26:00+00:00,2.6410612008476164e-06,1.1337309757664116e-07
2026-06-30 11:27:00+00:00,2.726856109802611e-06,1.202576243031217e-07
2026-06-30 11:28:00+00:00,2.754590923359501e-06,1.1894358920017112e-07
2026-06-30 11:29:00+00:00,2.735660928010475e-06,1.1332317484402665e-07
2026-06-30 11:30:00+00:00,2.719762960623484e-06,1.0806076033986756e-07
2026-06-30 11:31:00+00:00,2.6886330033448758e-06,1.0204745137798454e-07
2026-06-30 11:32:00+00:00,2.6984787382389186e-06,1.0295604369048306e-07
2026-06-30 11:33:00+00:00,2.7153976134286495e-06,1.0066808897590818e-07
2026-06-30 11:34:00+00:00,2.718662472034339e-06,1.025611737759391e-07
2026-06-30 11:35:00+00:00,2.765258386716596e-06,1.0769672087462823e-07
2026-06-30 11:36:00+00:00,2.8282215680519585e-06,1.1493474971757678e-07
2026-06-30 11:37:00+00:00,2.8150438993179705e-06,1.1227233187582897e-07
2026-06-30 11:38:00+00:00,2.779347823889111e-06,1.0744877698698474e-07
2026-06-30 11:39:00+00:00,2.731078438955592e-06,9.82482788458583e-08
2026-06-30 11:40:00+00:00,2.6540369617578108e-06,8.751628399750189e-08
2026-06-30 11:41:00+00:00,2.588650886536925e-06,7.751933850386195e-08
2026-06-30 11:42:00+00:00,2.539746446927893e-06,7.222717357535657e-08
2026-06-30 11:43:00+00:00,2.5244307835237123e-06,6.934205742936683e-08
2026-06-30 11:44:00+00:00,2.4693517843843438e-06,6.171677569000167e-08
2026-06-30 11:45:00+00:00,2.4276737349282485e-06,6.107588035320077e-08
2026-06-30 11:46:00+00:00,2.3853167476772796e-06,5.655720869413017e-08
2026-06-30 11:47:00+00:00,2.3198278995550936e-06,5.215387588464182e-08
2026-06-30 11:48:00+00:00,2.2518233890878037e-06,4.516451923564091e-08
2026-06-30 11:49:00+00:00,2.1773114440293284e-06,4.167245393205121e-08
2026-06-30 11:50:00+00:00,2.1105195173731772e-06,3.7901415339547384e-08
2026-06-30 11:51:00+00:00,2.052212494163541e-06,3.659816272261196e-08
2026-06-30 11:52:00+00:00,2.005999249377055e-06,3.449937935329217e-08
2026-06-30 11:53:00+00:00,1.956183268703171e-06,3.491102162911375e-08
2026-06-30 11:54:00+00:00,1.9154156234435504e-06,3.3856057513048654e-08
2026-06-30 11:55:00+00:00,1.8835555692930939e-06,3.294293904332335e-08
2026-06-30 11:56:00+00:00,1.9228252767788945e-06,4.545235654518365e-08
2026-06-30 11:57:00+00:00,1.9638896446849685e-06,5.628156429793307e-08
2026-06-30 11:58:00+00:00,1.983343054234865e-06,5.684790593818434e-08
2026-06-30 11:59:00+00:00,2.0462834982026834e-06,5.4617419920077737e-08
2026-06-30 12:00:00+00:00,2.1542787180806044e-06,6.960980414305595e-08
2026-06-30 12:01:00+00:00,2.027220034506172e-06,5.774957756443655e-08
2026-06-30 12:02:00+00:00,1.8810083020071033e-06,4.456902047422773e-08
2026-06-30 12:03:00+00:00,1.827469191084674e-06,3.733740427946941e-08
2026-06-30 12:04:00+00:00,1.8312608744963654e-06,3.784056445965689e-08
2026-06-30 12:05:00+00:00,1.8217448314317153e-06,3.608725052117734e-08
2026-06-30 12:06:00+00:00,1.8013114413406583e-06,3.329705577925779e-08
2026-06-30 12:07:00+00:00,1.784097094059689e-06,3.476499443877401e-08
2026-06-30 12:08:00+00:00,1.7671114846962155e-06,3.860578345893373e-08
2026-06-30 12:09:00+00:00,1.7479773077866412e-06,3.8607751662311784e-08
2026-06-30 12:10:00+00:00,1.7416011814930243e-06,4.06316367218551e-08
2026-06-30 12:11:00+00:00,1.7456658270020853e-06,4.0536964007742426e-08
2026-06-30 12:12:00+00:00,1.7506712310932926e-06,4.2752301254722624e-08
2026-06-30 12:13:00+00:00,1.739168169478944e-06,3.898166767157818e-08
2026-06-30 12:14:00+00:00,1.7498325632914202e-06,4.087004867869837e-08
2026-06-30 12:15:00+00:00,1.7575561059857137e-06,4.07752409614659e-08
2026-06-30 12:16:00+00:00,1.7766270730135147e-06,4.007342724321461e-08
2026-06-30 12:17:00+00:00,1.8065807125822175e-06,4.166587785903175e-08
2026-06-30 12:18:00+00:00,1.7964515564017347e-06,3.8262847112946474e-08
2026-06-30 12:19:00+00:00,1.7586086187293404e-06,3.6050678886567766e-08
2026-06-30 12:20:00+00:00,1.7438952681914088e-06,3.375027191054869e-08
2026-06-30 12:21:00+00:00,1.7537146277391003e-06,3.480374033415501e-08
2026-06-30 12:22:00+00:00,1.803910890885163e-06,3.906787782170795e-08
2026-06-30 12:23:00+00:00,1.9067429093411192e-06,5.0471005152985526e-08
2026-06-30 12:24:00+00:00,2.0163952285656705e-06,5.9473556746070244e-08
2026-06-30 12:25:00+00:00,2.1299408672348363e-06,7.053404971202326e-08
2026-06-30 12:26:00+00:00,2.2419262677431107e-06,7.536439738942136e-08
2026-06-30 12:27:00+00:00,2.4385669803450583e-06,9.327663264002695e-08
2026-06-30 12:28:00+00:00,2.743005552474642e-06,1.2496629153702088e-07
